,Player_Name,Country,Rookie_year,Retirement_year,Matches,Inns,Not_outs,Total_Runs_in_Career,Highest_Score,Average_Score,Balls_Faced,Strike_Rate,100,50,0,4s,6s,Highest_Score_Not_out,Retired_or_not
90,KD Walters ,AUS,1965,1981,74,125,14,5357,250,48.26,8662,49.16,15,33,4,525,23,0,0
91,D Elgar ,SA,2012,2024,86,152,11,5347,199,37.92,11190,47.78,14,23,13,684,26,0,1
92,IM Chappell ,AUS,1964,1980,75,136,10,5345,196,42.42,8511,45.64,14,26,11,562,15,0,0
93,JG Wright ,NZ,1978,1993,82,148,7,5334,185,37.82,14619,35.26,12,23,7,621,10,0,0
94,MJ Slater ,AUS,1993,2001,74,131,7,5312,219,42.83,9967,53.29,14,21,9,598,30,0,0
95,LD Chandimal ,SL,2011,2023,76,137,15,5295,206,43.4,10670,49.62,14,25,5,549,39,1,0
96,N Kapil Dev ,IND,1978,1994,131,184,15,5248,163,31.05,5192,79.33,8,27,16,557,61,0,0
97,WM Lawry ,AUS,1961,1971,67,123,12,5234,210,47.15,7154,39.34,13,27,6,433,15,0,0
98,Misbah-ul-Haq ,PAK,2001,2017,75,132,20,5222,161,46.62,11726,44.53,10,39,9,511,81,1,0
99,TWM Latham ,NZ,2014,2023,76,134,6,5201,264,40.63,11051,47.06,13,27,11,590,18,1,0
100,IT Botham ,ENG,1977,1992,102,161,6,5200,208,33.54,8565,60.71,14,22,14,621,67,0,0
101,UT Khawaja ,AUS,2011,2024,69,122,12,5177,195,47.06,10604,48.82,15,25,7,563,25,1,1
102,JH Edrich ,ENG,1963,1976,77,127,9,5138,310,43.54,12102,37.23,12,24,6,548,11,1,0
103,Tamim Iqbal ,BAN,2008,2023,70,134,2,5134,206,38.89,8852,57.99,10,31,11,655,41,0,0
104,A Ranatunga ,SL,1982,2000,93,155,12,5105,135,35.69,8672,49.96,4,38,12,534,40,1,0
105,AM Rahane ,IND,2013,2023,85,144,12,5077,188,38.46,10256,49.5,12,26,10,578,35,0,0
106,Zaheer Abbas ,PAK,1969,1985,78,124,11,5062,274,44.79,6935,55.22,12,20,10,458,22,0,0
